0.688648 0.0541135 0.305224 0.714796 0.511489 0.465577 0.216148 0.915894 0.961431 0.111438
0.0405338 0.306215 0.872953 0.330924 0.939316 0.975779 0.158448 0.712618 0.957675 0.14762
0.525706 0.535311 0.618289 0.3187 0.0747061 0.764176 0.553532 0.374666 0.659413 0.180423
0.187095 0.859483 0.195987 0.163618 0.0719719 0.175418 0.445313 0.233763 0.546001 0.387452
0.41437 0.137222 0.0742874 0.573993 0.899478 0.23597 0.990807 0.541994 0.439433 0.0461019
0.742719 0.80214 0.296517 0.960226 0.452799 0.623239 0.858377 0.529363 0.0332684 0.752523
0.988834 0.993128 0.893452 0.830301 0.326927 0.394955 0.2198 0.423303 0.11605 0.510255
0.401901 0.531332 0.259424 0.66259 0.350304 0.290602 0.605232 0.739028 0.340867 0.00260719
0.0233888 0.835409 0.763606 0.269745 0.220142 0.0386678 0.517821 0.184734 0.260778 0.619326
0.0768983 0.673459 0.606242 0.0955581 0.975627 0.25453 0.632418 0.121082 0.484534 0.584202
0.149489 0.350349 0.285682 0.337356 0.128182 0.489284 0.0689659 0.592574 0.833323 0.38786
0.450733 0.191774 0.191594 0.103827 0.268944 0.100873 0.792282 0.10127 0.524221 0.509995
0.879559 0.227567 0.136426 0.749007 0.0336035 0.707432 0.873956 0.619983 0.505352 0.305772
0.014338 0.473146 0.173547 0.741102 0.010062 0.434306 0.833235 0.989588 0.455782 0.297823
0.735178 0.852903 0.947098 0.824834 0.0249212 0.747363 0.496805 0.776065 0.767401 0.0408219
0.971813 0.144149 0.573813 0.770093 0.972813 0.196136 0.219693 0.246909 0.409522 0.803538
0.842533 0.58288 0.969686 0.664153 0.818705 0.975993 0.852947 0.118276 0.262899 0.765633
0.811859 0.82375 0.0597444 0.945801 0.936418 0.394756 0.678792 0.149655 0.360397 0.0477612
0.660228 0.810791 0.374853 0.392254 0.976954 0.136336 0.930148 0.768251 0.704102 0.458271
0.300888 0.759582 0.555931 0.616756 0.886992 0.830785 0.304251 0.278309 0.928829 0.0946234
0.907394 0.608136 0.177941 0.945257 0.304295 0.74794 0.780795 0.678724 0.82094 0.0671464
0.777385 0.926019 0.296331 0.377681 0.829493 0.865127 0.988105 0.838292 0.142762 0.499757
0.0345133 0.433805 0.122291 0.169893 0.167429 0.561196 0.311534 0.572695 0.370957 0.956452
0.651349 0.907142 0.985512 0.0950147 0.430748 0.962794 0.147865 0.819173 0.974874 0.75797
